name,type,season_tags,vata_score,pitta_score,kapha_score,cal,prot,fat,carb,sugar,sodium_mg,satfat_g,incompatible_with
Rice_1,legume,"['Autumn', 'Monsoon', 'Winter']",1,0,0,292,11.3,13.0,63.0,16.1,156,8.7,['Lemon_4']
Wheat_1,beverage,['Autumn'],1,3,0,72,3.0,8.1,67.1,11.6,276,9.4,"['Bottle Gourd_1', 'Green Tea_1', 'Chana Dal_3']"
Roti_1,beverage,"['Summer', 'Winter', 'Spring']",3,3,3,398,20.9,14.6,29.2,10.3,75,7.8,"['Tomato_8', 'Orange_3', 'Beetroot_3']"
Chapati_1,dairy,['Autumn'],0,2,3,271,18.0,3.9,62.6,6.5,247,9.6,"['Coconut_7', 'Broccoli_2', 'Cucumber_6']"
Kitchari_1,vegetable,"['EarlyWinter', 'Autumn', 'Monsoon']",3,2,3,316,2.0,4.7,54.6,4.7,125,9.7,"['Upma_9', 'Oats_10']"
Moong Dal_1,legume,"['Spring', 'Summer', 'Winter']",3,0,3,287,17.5,18.7,53.9,2.4,225,0.7,"['Idli_8', 'Oats_7']"
Chana Dal_1,vegetable,['LateWinter'],0,2,1,189,17.4,17.2,21.5,15.0,321,6.6,"['Chapati_5', 'Curd_9', 'Ghee_2']"
Lentils_1,spice,['EarlyWinter'],2,1,0,334,22.0,12.2,31.4,5.8,272,1.4,[]
Oats_1,dairy,['Autumn'],3,0,0,215,7.9,14.1,29.7,13.0,73,3.5,"['Wheat_8', 'Jaggery_8', 'Butter_1']"
Idli_1,grain,"['LateWinter', 'Winter']",2,1,3,303,15.9,16.3,21.3,6.2,32,5.5,['Lemon_7']
Dosa_1,fat,"['EarlyWinter', 'Summer']",0,3,3,244,21.4,15.3,38.9,0.3,193,7.0,[]
Upma_1,dairy,['Spring'],2,1,2,242,11.5,7.6,37.8,1.9,267,5.8,"['Green Tea_10', 'Cucumber_3']"
Vegetable Sabzi_1,grain,"['Spring', 'EarlyWinter', 'Autumn']",2,0,3,245,0.9,14.5,59.9,0.1,425,9.1,"['Beetroot_7', 'Peanuts_10']"
Paneer_1,spice,['Spring'],0,0,1,248,10.3,16.3,56.4,6.9,448,6.7,"['Lentils_9', 'Bottle Gourd_3']"
Milk_1,beverage,"['EarlyWinter', 'Winter']",2,0,1,178,2.1,10.3,36.5,4.6,27,9.6,[]
Curd_1,grain,"['Spring', 'Summer']",3,3,0,309,11.7,17.4,29.6,15.5,20,6.8,[]
Ghee_1,fat,"['Spring', 'Monsoon', 'EarlyWinter']",1,0,1,247,1.6,8.0,18.6,4.4,100,1.7,"['Chia Seeds_10', 'Tomato_4']"
Butter_1,fat,['LateWinter'],1,3,2,333,11.2,1.3,56.2,9.2,465,2.4,[]
Coconut_1,fruit,['Autumn'],0,2,1,378,21.8,0.1,42.1,14.3,389,4.8,[]
Spinach_1,dairy,"['EarlyWinter', 'Summer']",0,2,0,119,2.7,11.3,60.6,12.7,312,6.2,['Sesame Seeds_3']
Carrot_1,legume,"['Spring', 'Autumn', 'Summer']",2,1,0,129,9.4,6.7,36.2,18.3,250,8.3,"['Pineapple_6', 'Pineapple_3']"
Beetroot_1,fruit,"['Summer', 'LateWinter', 'Monsoon']",3,1,0,161,16.8,16.9,24.7,6.1,409,3.3,[]
Tomato_1,fruit,"['Summer', 'Monsoon']",2,3,1,145,6.5,10.6,60.7,13.4,459,0.4,['Chana Dal_8']
Cucumber_1,fruit,['Spring'],3,1,3,237,17.4,9.3,62.7,1.1,217,1.0,"['Mango_1', 'Oats_1']"
Bottle Gourd_1,fat,['Summer'],3,2,1,136,18.6,15.5,13.8,15.0,58,4.7,['Dosa_10']
Pumpkin_1,fruit,['Autumn'],3,0,2,69,19.4,13.7,62.3,19.1,64,0.3,[]
Cauliflower_1,fruit,['Summer'],3,3,3,397,1.6,17.9,31.5,11.7,91,6.5,[]
Broccoli_1,vegetable,['LateWinter'],1,3,0,231,23.9,0.9,36.3,8.9,389,0.4,"['Pineapple_7', 'Dosa_9', 'Milk_6']"
Apple_1,fruit,"['Monsoon', 'EarlyWinter']",2,3,2,143,14.2,18.5,15.7,15.7,365,0.8,['Moong Dal_1']
Banana_1,fat,['Winter'],3,3,1,71,19.8,13.9,42.0,10.5,275,0.9,"['Guava_4', 'Milk_2']"
Mango_1,spice,"['EarlyWinter', 'LateWinter', 'Autumn']",3,2,1,122,17.6,19.4,31.5,19.5,50,2.3,['Carrot_5']
Guava_1,fat,"['Spring', 'Monsoon', 'Summer']",2,2,1,105,4.4,7.0,34.4,17.4,424,2.3,"['Pineapple_5', 'Curd_3', 'Beetroot_8']"
Papaya_1,beverage,"['LateWinter', 'EarlyWinter']",3,1,3,358,19.5,17.9,12.1,6.2,462,4.7,"['Vegetable Sabzi_4', 'Pineapple_10', 'Honey_9']"
Pineapple_1,vegetable,"['Summer', 'EarlyWinter']",0,1,2,232,12.7,14.2,44.4,18.1,77,1.1,"['Peanuts_3', 'Milk_8', 'Milk_3']"
Orange_1,fruit,['Monsoon'],2,1,1,129,22.6,16.6,19.1,11.6,380,1.3,[]
Lemon_1,grain,"['Monsoon', 'Winter']",1,0,3,214,1.1,4.7,57.6,2.2,138,6.4,['Wheat_3']
Herbal Tea_1,fruit,['Winter'],3,1,0,162,6.9,7.1,57.9,11.5,305,9.9,['Guava_9']
Green Tea_1,vegetable,['Winter'],3,1,0,396,17.9,12.1,53.5,9.8,47,6.6,['Honey_5']
Spices Mix_1,spice,"['LateWinter', 'Autumn', 'Winter']",1,1,1,340,12.0,15.0,18.3,1.2,90,6.5,['Kitchari_5']
Honey_1,beverage,['Summer'],2,0,3,118,9.5,18.0,17.5,17.5,229,2.9,[]
Jaggery_1,fruit,"['EarlyWinter', 'Summer']",2,2,3,281,20.0,0.1,29.8,11.5,5,6.9,[]
Peanuts_1,fat,"['LateWinter', 'Monsoon', 'Autumn']",1,3,0,132,23.0,14.1,11.5,13.6,480,6.9,[]
Almonds_1,vegetable,['LateWinter'],2,1,0,137,17.2,10.5,13.6,13.0,214,1.0,[]
Cashews_1,grain,['LateWinter'],1,2,2,53,11.3,9.6,38.8,19.2,99,2.3,"['Lemon_10', 'Orange_10']"
Walnuts_1,grain,"['Winter', 'Autumn', 'Spring']",0,3,3,296,6.4,11.8,16.7,19.1,108,2.0,['Pumpkin_10']
Sesame Seeds_1,spice,['Spring'],1,3,3,299,1.9,6.2,66.6,9.2,485,7.4,[]
Chia Seeds_1,dairy,"['Autumn', 'Spring']",3,2,0,335,5.2,19.1,55.9,19.3,482,9.6,"['Oats_5', 'Pumpkin_10', 'Ghee_6']"
Rice_2,beverage,"['Summer', 'Winter']",0,0,2,290,15.3,8.8,42.4,12.6,250,7.3,"['Chia Seeds_3', 'Tomato_4', 'Milk_3']"
Wheat_2,fat,"['EarlyWinter', 'Spring', 'LateWinter']",1,2,2,226,3.9,15.3,16.4,4.3,99,2.6,[]
Roti_2,beverage,"['Winter', 'LateWinter', 'Monsoon']",1,0,1,336,23.2,10.3,27.8,0.0,321,9.8,"['Chapati_10', 'Idli_7', 'Wheat_4']"
Chapati_2,beverage,"['Summer', 'Monsoon', 'Autumn']",2,0,1,273,24.3,5.3,28.3,12.3,81,3.6,[]
Kitchari_2,beverage,"['Monsoon', 'EarlyWinter']",3,0,3,152,15.4,13.4,48.5,5.1,226,0.7,"['Cashews_10', 'Idli_7']"
Moong Dal_2,vegetable,['Spring'],1,1,0,328,15.0,16.9,6.6,16.1,2,6.6,"['Oats_10', 'Wheat_6']"
Chana Dal_2,beverage,"['Summer', 'Autumn']",2,0,3,392,24.9,10.4,26.0,9.9,374,9.0,"['Broccoli_3', 'Upma_3']"
Lentils_2,fruit,['Spring'],3,0,1,68,15.1,3.5,18.4,8.5,396,4.7,"['Banana_10', 'Green Tea_6']"
Oats_2,vegetable,"['Spring', 'Autumn']",3,1,1,127,11.3,12.3,65.1,1.1,59,0.2,"['Peanuts_3', 'Cashews_3', 'Curd_5']"
Idli_2,fat,['Spring'],0,3,3,311,24.4,17.2,22.9,15.7,285,0.8,['Banana_10']
Dosa_2,beverage,"['Monsoon', 'Winter']",2,3,2,355,22.6,1.7,42.9,5.7,456,2.4,['Roti_9']
Upma_2,legume,"['Monsoon', 'Summer']",2,0,2,214,19.2,6.9,60.0,14.8,75,2.0,[]
Vegetable Sabzi_2,grain,['LateWinter'],2,0,1,345,5.7,17.0,35.6,14.6,57,5.2,"['Vegetable Sabzi_4', 'Almonds_5']"
Paneer_2,fruit,"['Monsoon', 'Spring']",3,2,1,59,14.2,9.4,13.3,15.8,70,6.5,[]
Milk_2,fat,"['Monsoon', 'Summer', 'LateWinter']",1,3,1,364,18.8,2.4,59.6,5.3,177,0.2,"['Beetroot_5', 'Pumpkin_9']"
Curd_2,spice,"['Monsoon', 'Winter']",0,3,1,56,6.7,2.8,22.9,4.2,335,2.2,"['Spinach_1', 'Broccoli_7', 'Coconut_10']"
Ghee_2,legume,"['EarlyWinter', 'Spring']",3,1,0,302,7.2,16.9,10.2,2.4,208,2.3,['Guava_8']
Butter_2,grain,"['Monsoon', 'Winter']",1,2,0,251,14.7,16.4,16.6,11.2,331,6.6,"['Honey_3', 'Vegetable Sabzi_1']"
Coconut_2,grain,"['Spring', 'Monsoon', 'Summer']",0,0,3,145,9.3,17.9,42.0,13.4,248,3.3,"['Chapati_1', 'Curd_1']"
Spinach_2,grain,"['Summer', 'EarlyWinter']",1,1,2,89,16.7,9.1,68.2,5.7,70,9.0,"['Jaggery_7', 'Cucumber_4']"
Carrot_2,fruit,"['Winter', 'EarlyWinter']",1,1,0,71,1.9,17.3,10.9,18.3,271,8.8,"['Broccoli_6', 'Chana Dal_10']"
Beetroot_2,dairy,"['Autumn', 'EarlyWinter']",0,2,1,129,8.4,17.7,35.1,18.1,304,0.6,"['Lentils_8', 'Chia Seeds_8', 'Cucumber_8']"
Tomato_2,fruit,"['Summer', 'Autumn', 'LateWinter']",3,0,1,205,4.4,4.1,14.6,14.0,454,4.5,[]
Cucumber_2,legume,"['Spring', 'EarlyWinter', 'Winter']",0,1,3,98,19.5,3.5,31.8,11.5,19,6.9,['Cucumber_10']
Bottle Gourd_2,dairy,"['Summer', 'LateWinter', 'Autumn']",3,1,1,189,19.0,5.1,16.8,13.3,266,4.0,[]
Pumpkin_2,fat,"['EarlyWinter', 'Winter']",3,1,1,386,4.2,19.1,54.6,12.9,328,5.4,['Oats_9']
Cauliflower_2,spice,"['Summer', 'EarlyWinter', 'Monsoon']",3,2,0,180,1.8,0.5,44.6,13.5,28,5.6,['Kitchari_1']
Broccoli_2,fat,"['EarlyWinter', 'Spring', 'Monsoon']",1,3,3,115,9.7,7.8,29.1,18.9,252,4.4,['Moong Dal_5']
Apple_2,spice,['Monsoon'],3,0,2,196,23.0,0.7,53.4,1.3,208,3.5,"['Green Tea_1', 'Spices Mix_9']"
Banana_2,spice,"['EarlyWinter', 'Summer']",1,3,1,98,24.1,1.2,32.8,17.6,32,2.4,['Spices Mix_6']
Mango_2,legume,"['Summer', 'LateWinter']",0,3,1,157,19.8,9.8,19.7,4.8,311,3.0,['Lentils_10']
Guava_2,fruit,"['Monsoon', 'Spring', 'EarlyWinter']",2,3,2,189,19.0,6.5,24.6,11.7,217,0.2,[]
Papaya_2,fat,['LateWinter'],0,0,2,305,9.3,5.0,18.3,16.9,254,0.8,['Honey_2']
Pineapple_2,vegetable,['Autumn'],1,0,0,293,18.9,18.3,42.6,3.3,67,4.4,"['Rice_5', 'Upma_1', 'Orange_7']"
Orange_2,grain,"['EarlyWinter', 'LateWinter']",2,1,3,115,17.9,3.5,48.8,14.5,137,2.5,"['Mango_4', 'Apple_10', 'Carrot_7']"
Lemon_2,spice,"['Autumn', 'Spring', 'Winter']",3,1,3,309,15.3,5.3,61.1,18.0,19,0.5,"['Chapati_5', 'Coconut_1']"
Herbal Tea_2,legume,"['Spring', 'Monsoon']",3,0,3,164,21.8,4.7,10.4,2.2,77,9.4,[]
Green Tea_2,beverage,"['Autumn', 'Winter', 'Monsoon']",2,3,3,218,3.9,19.4,8.8,0.6,353,0.6,[]
Spices Mix_2,fruit,"['Autumn', 'Summer', 'LateWinter']",1,3,0,393,21.8,15.2,38.2,15.8,77,8.5,"['Coconut_1', 'Milk_8']"
Honey_2,grain,"['EarlyWinter', 'Summer', 'LateWinter']",0,1,1,350,18.6,6.0,58.8,9.9,328,4.7,"['Oats_10', 'Beetroot_4', 'Vegetable Sabzi_2']"
Jaggery_2,vegetable,"['Winter', 'LateWinter', 'EarlyWinter']",1,1,1,242,1.6,15.5,68.3,9.8,40,4.4,"['Peanuts_5', 'Walnuts_3', 'Paneer_1']"
Peanuts_2,beverage,['Spring'],3,0,3,53,19.1,7.1,6.4,16.2,167,9.0,[]
Almonds_2,legume,"['EarlyWinter', 'Summer', 'Monsoon']",3,2,3,181,15.1,11.2,46.2,19.5,188,0.9,"['Dosa_7', 'Kitchari_1', 'Sesame Seeds_6']"
Cashews_2,legume,"['Autumn', 'Summer']",0,2,1,99,9.8,7.2,30.8,0.3,449,2.3,[]
Walnuts_2,fruit,"['Winter', 'LateWinter']",1,3,2,247,2.9,8.3,14.5,5.1,304,1.1,"['Mango_5', 'Oats_6']"
Sesame Seeds_2,spice,"['LateWinter', 'Spring']",3,3,2,367,5.1,19.9,29.3,17.0,151,0.5,"['Lemon_8', 'Cucumber_8']"
Chia Seeds_2,legume,"['Summer', 'LateWinter']",0,2,3,392,19.3,6.3,6.8,1.4,124,4.4,['Papaya_3']
Rice_3,dairy,['Monsoon'],2,3,0,121,18.1,0.7,20.4,19.8,51,0.7,"['Cashews_3', 'Kitchari_7']"
Wheat_3,fat,['LateWinter'],1,3,0,362,21.5,0.3,7.2,5.6,362,3.6,"['Sesame Seeds_5', 'Mango_8']"
Roti_3,grain,['LateWinter'],3,2,3,193,11.3,12.5,12.7,5.2,282,6.6,['Kitchari_8']
Chapati_3,fat,"['Winter', 'Autumn']",2,1,2,313,7.7,11.5,70.0,3.6,97,9.6,['Rice_2']
Kitchari_3,fat,"['Summer', 'Winter']",1,1,0,98,8.3,16.1,28.8,15.7,32,2.6,[]
Moong Dal_3,fruit,"['Monsoon', 'Summer']",0,2,3,171,22.7,4.0,18.6,11.3,115,4.5,[]
Chana Dal_3,fruit,"['LateWinter', 'Monsoon', 'Summer']",2,3,0,368,21.9,11.6,47.5,9.9,357,6.2,"['Vegetable Sabzi_1', 'Sesame Seeds_8']"
Lentils_3,beverage,"['Winter', 'EarlyWinter']",2,0,0,273,24.5,19.1,51.3,10.7,200,4.3,[]
Oats_3,beverage,['Autumn'],3,3,3,398,8.6,14.5,53.3,14.3,449,9.5,[]
Idli_3,dairy,['Winter'],1,3,2,333,16.9,3.5,59.4,11.4,89,1.4,[]
Dosa_3,legume,"['Winter', 'Summer']",0,0,0,195,3.4,14.6,63.3,8.5,255,3.5,['Idli_1']
Upma_3,dairy,"['Summer', 'Spring', 'Winter']",3,0,2,360,7.0,14.8,46.3,7.5,112,4.8,['Walnuts_4']
Vegetable Sabzi_3,fat,"['Summer', 'LateWinter', 'Autumn']",1,1,0,152,21.1,3.8,25.5,18.4,385,6.8,['Coconut_8']
Paneer_3,legume,['LateWinter'],3,3,0,199,22.3,6.9,30.7,18.3,274,4.8,['Butter_8']
Milk_3,legume,['EarlyWinter'],0,1,3,297,13.5,19.8,62.5,16.5,225,4.1,[]
Curd_3,fruit,"['Winter', 'EarlyWinter', 'Summer']",1,1,2,116,22.9,16.0,55.7,7.1,4,5.7,[]
Ghee_3,fruit,['Autumn'],2,0,1,59,5.5,16.6,39.1,10.5,62,7.1,"['Honey_3', 'Dosa_5']"
Butter_3,spice,['Spring'],2,2,2,111,6.8,8.7,47.7,15.4,183,4.7,[]
Coconut_3,grain,"['Summer', 'LateWinter', 'EarlyWinter']",1,2,3,175,13.1,18.6,53.9,14.3,41,1.0,"['Oats_2', 'Idli_6', 'Oats_5']"
Spinach_3,fat,['Spring'],2,3,3,191,16.1,2.9,28.6,3.5,339,4.9,['Wheat_10']
Carrot_3,grain,"['LateWinter', 'Monsoon']",2,0,1,228,14.1,6.1,60.5,10.2,377,7.0,['Orange_10']
Beetroot_3,fruit,"['LateWinter', 'Spring', 'Autumn']",3,3,2,262,21.0,2.7,66.8,15.8,118,8.3,"['Coconut_7', 'Apple_9']"
